r_xy_mm,phi_deg,z_mm,spiral,order_idx
264,0.0,1,reverse,899
188,7.7,500,forward,900
191,7.7,0,forward,901
120,20.1,2,forward,902
220,27.7,500,forward,903
216,24.8,0,reverse,904
103,32.5,500,reverse,905
165,40.1,500,forward,906
179,44.9,500,reverse,907
181,44.9,0,reverse,908
76,52.5,500,forward,909
138,64.9,500,reverse,910
139,64.9,0,reverse,911
203,60.2,0,forward,912
138,72.6,497,forward,913
241,69.2,498,reverse,914
256,68.3,498,forward,915
139,72.6,0,forward,916
231,80.2,500,forward,917
76,85.0,500,reverse,918
165,97.4,500,reverse,919
179,92.6,500,forward,920
167,97.4,0,reverse,921
103,105.0,500,forward,922
220,109.8,500,reverse,923
223,109.8,0,reverse,924
120,117.4,0,reverse,925
157,125.1,0,forward,926
188,129.8,500,reverse,927
242,132.8,500,forward,928
245,132.8,0,forward,929
29,137.5,500,reverse,930
50,137.5,500,forward,931
241,142.2,0,reverse,932
250,137.5,0,reverse,933
255,137.5,1,forward,934
149,149.9,500,reverse,935
192,145.2,500,forward,936
151,149.9,0,reverse,937
195,145.2,0,forward,938
125,157.6,500,forward,939
209,162.3,500,reverse,940
212,162.3,0,reverse,941
95,170.0,500,reverse,942
177,182.4,2,reverse,943
86,190.0,500,forward,944
228,194.8,500,reverse,945
131,202.4,500,reverse,946
205,197.7,497,forward,947
133,202.4,0,reverse,948
243,205.8,499,forward,949
197,214.8,498,reverse,950
145,210.1,0,forward,951
199,214.8,2,reverse,952
235,217.8,500,forward,953
237,222.5,2,reverse,954
186,230.2,0,forward,955
162,234.9,0,reverse,956
111,242.6,500,forward,957
113,242.6,0,forward,958
219,247.3,0,reverse,959
111,254.9,500,reverse,960
217,250.2,500,forward,961
113,254.9,0,reverse,962
160,262.6,499,forward,963
186,267.3,0,reverse,964
245,275.0,2,forward,965
248,270.3,0,forward,966
197,282.7,500,forward,967
199,282.7,2,forward,968
238,279.7,3,reverse,969
261,291.7,499,reverse,970
131,295.1,500,forward,971
205,299.8,498,reverse,972
133,295.1,1,forward,973
208,299.8,0,reverse,974
228,302.7,500,forward,975
86,307.5,500,reverse,976
177,315.1,3,forward,977
95,327.5,497,forward,978
209,335.2,500,forward,979
212,335.2,0,forward,980
227,332.3,0,reverse,981
250,343.3,500,forward,982
127,339.9,0,reverse,983
192,352.3,500,reverse,984
151,347.6,0,forward,985
238,355.3,500,forward,986
241,355.3,0,forward,987
